"filename", "language", "Ini", "Python", "JSON", "comment", "blank", "total"
"c:\Users\gaiam\Documents\DND_staging\DT_DND\Sheet\get.py", "Python", 0, 360, 0, 26, 120, 506
"c:\Users\gaiam\Documents\DND_staging\DT_DND\Sheet\set.py", "Python", 0, 228, 0, 14, 44, 286
"c:\Users\gaiam\Documents\DND_staging\DT_DND\access_data\Grimoir.py", "Python", 0, 6581, 0, 0, 2, 6583
"c:\Users\gaiam\Documents\DND_staging\DT_DND\access_data\color_reference.py", "Python", 0, 45, 0, 0, 15, 60
"c:\Users\gaiam\Documents\DND_staging\DT_DND\dist\db.json", "JSON", 0, 0, 468, 0, 0, 468
"c:\Users\gaiam\Documents\DND_staging\DT_DND\dist\item_comp.json", "JSON", 0, 0, 2590, 0, 0, 2590
"c:\Users\gaiam\Documents\DND_staging\DT_DND\main.py", "Python", 0, 43, 0, 1, 26, 70
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\character.py", "Python", 0, 172, 0, 0, 56, 228
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\Background_comp.py", "Python", 0, 74, 0, 0, 41, 115
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\Class_comp.py", "Python", 0, 199, 0, 10, 51, 260
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\Equipment_comp.py", "Python", 0, 70, 0, 0, 20, 90
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\Milestone_comp.py", "Python", 0, 195, 0, 0, 49, 244
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\Race_comp.py", "Python", 0, 308, 0, 0, 112, 420
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\components\registry.py", "Python", 0, 12, 0, 0, 2, 14
"c:\Users\gaiam\Documents\DND_staging\DT_DND\manager\dbm.py", "Python", 0, 675, 0, 1, 86, 762
"c:\Users\gaiam\Documents\DND_staging\DT_DND\path_helper.py", "Python", 0, 11, 0, 12, 2, 25
"c:\Users\gaiam\Documents\DND_staging\DT_DND\q.py", "Python", 0, 24, 0, 0, 4, 28
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\call_back_handler.py", "Python", 0, 350, 0, 0, 73, 423
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\init_ui.py", "Python", 0, 402, 0, 0, 28, 430
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_class_import.py", "Python", 0, 10, 0, 0, 3, 13
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_actions.py", "Python", 0, 58, 0, 0, 13, 71
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_background.py", "Python", 0, 46, 0, 0, 9, 55
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_backpack.py", "Python", 0, 48, 0, 6, 13, 67
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_bazaar.py", "Python", 0, 70, 0, 0, 13, 83
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_class.py", "Python", 0, 306, 0, 0, 77, 383
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_closet.py", "Python", 0, 44, 0, 0, 10, 54
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_inventory.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_milestone.py", "Python", 0, 267, 0, 0, 59, 326
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_race.py", "Python", 0, 257, 0, 4, 72, 333
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_sheet.py", "Python", 0, 96, 0, 5, 21, 122
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_classes\upd_spell.py", "Python", 0, 144, 0, 0, 20, 164
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_helper\size_class.py", "Python", 0, 45, 0, 0, 22, 67
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_helper\tag_class.py", "Python", 0, 32, 0, 0, 6, 38
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_helper\utility_func.py", "Python", 0, 88, 0, 0, 17, 105
"c:\Users\gaiam\Documents\DND_staging\DT_DND\ui\upd_helper_import.py", "Python", 0, 12, 0, 0, 3, 15
"c:\Users\gaiam\Documents\DND_staging\DT_DND\utils\config_save.ini", "Ini", 341, 0, 0, 0, 59, 400
"Total", "-", 341, 11272, 3058, 79, 1149, 15899
